Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Дегтярев‎ Борислав Ахматович,5015 615528,563-278-430 09,Боль в горле|Одышка|Кашель|Слабость|Температура|Потеря веса,КТ (компьютерная томография)|Рентгенография|Биохимический анализ крови|Биопсия опухоли,Онколог,2023-12-07T18:45+03:00,2023-12-08T18:54+03:00,2700,2200 2425 9940 8970
Соболев‎ Вук Демьянович,2110 630118,369-561-116 11,Головная боль|Боль в горле|Насморк|Кашель|Затрудненное дыхание|Семейный анамнез наследственных заболеваний,УЗИ (ультразвуковое исследование)|Гастроэнтероскопия|МРТ (магнитно-резонансная томография)|Кариотипирование,Генетик,2023-12-18T20:21+03:00,2023-12-19T19:20+03:00,8800,5421 0420 7748 9300
Свиридов‎ Радиград Тимурович,5112 588693,321-834-708 57,Боль в горле|Насморк|Температура|Головная боль|Повышенное давление|Повышенное давление,Кровь (общий анализ)|Гастроэнтероскопия|Биохимический анализ крови|ЭКГ (электрокардиограмма),Кардиолог,2024-05-29T20:26+03:00,2024-05-30T19:51+03:00,3800,2202 1576 0818 2888
Строева Мирина Юрьевна,0610 268687,920-099-763 12,Одышка|Головная боль|Повышенное давление|Слабость|Насморк|Сахарный диабет,Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|КТ (компьютерная томография)|Анализ крови на уровень глюкозы,Эндокринолог,2024-08-13T18:50+03:00,2024-08-14T19:58+03:00,1600,2202 2093 4554 9007
Булатова Ждана Константиновна,4216 297299,606-653-519 94,Насморк|Повышенное давление|Боль в груди|Затрудненное дыхание|Слабость|Язвы желудка,Гастроэнтероскопия|Биохимический анализ крови|КТ (компьютерная томография)|Эндоскопия верхних отделов ЖКТ,Эндоскопист,2024-04-22T19:04+03:00,2024-04-23T19:01+03:00,1200,2202 1548 5010 8936
Бондарева Златоцвета Максимовна,9322 347255,248-415-675 91,Боль в груди|Слабость|Одышка|Насморк|Кашель|Проблемы с памятью,Биохимический анализ крови|Рентгенография|УЗИ (ультразвуковое исследование)|Тест на деменцию,Гериатр,2024-08-30T19:51+03:00,2024-09-01T20:22+03:00,9200,2202 1552 9960 9569
Суворова Сбыслава Ксенофонтьевна,2109 641161,510-105-850 12,Кашель|Боль в груди|Боль в горле|Насморк|Повышенное давление|Рвота,Электрокардиограмма (ЭКГ)|Рентгенография|КТ (компьютерная томография)|Гастроэнтероскопия,Гастроэнтеролог,2024-04-04T19:58+03:00,2024-04-05T20:14+03:00,7100,4188 6843 4883 4823
Сидорова Прибыслава Львовна,1204 201106,486-366-714 39,Насморк|Температура|Повышенное давление|Боль в горле|Одышка|Поражение сердца,МРТ (магнитно-резонансная томография)|Рентгенография|Кровь (общий анализ)|Электрокардиография,Кардиоревматолог,2024-07-25T20:09+03:00,2024-07-26T20:20+03:00,5400,5101 2641 0334 0706
Гуров‎ Венцеслав Емельянович,7621 965747,179-712-727 13,Кашель|Насморк|Слабость|Температура|Затрудненное дыхание|Боли в суставах,Рентгенография|Кровь (общий анализ)|МРТ (магнитно-резонансная томография)|Рентген суставов,Ортопед,2024-03-29T18:53+03:00,2024-03-31T18:54+03:00,7100,2200 7082 8092 8481
Троицкая Щука Кузьминична,6102 167514,905-758-673 48,Кашель|Боль в груди|Насморк|Температура|Повышенное давление|Глубокий прикус,УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|МРТ (магнитно-резонансная томография)|Ортопантомограмма,Ортодонт,2024-08-19T19:11+03:00,2024-08-20T19:12+03:00,9800,2200 2489 3789 9087
Навальный‎ Всеград Артёмович,6721 344373,481-911-156 88,Боль в горле|Слабость|Одышка|Боль в груди|Кашель|Зуд,Рентгенография|Кровь (общий анализ)|Электрокардиограмма (ЭКГ)|Офтальмоскопия,Офтальмолог,2023-12-22T20:18+03:00,2023-12-24T19:02+03:00,1000,5244 6851 5360 9016
Ильинская Передслава Афанасьевна,7008 023527,321-753-822 58,Одышка|Температура|Затрудненное дыхание|Повышенное давление|Насморк|Боли в суставах,УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|Рентгенография|Рентген суставов,Ортопед,2024-02-02T18:50+03:00,2024-02-04T19:52+03:00,3600,2202 2032 2852 4658
